MAC Address,Vendor,IP Address,Protocol,Port,First Seen,Last Seen,Packet Count
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,TCP,61622,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49236,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49289,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49367,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49392,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49407,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49667,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49726,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49727,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49736,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49816,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49948,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,49994,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50061,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50105,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50223,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50281,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50319,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50350,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50424,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50456,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50556,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50607,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50699,1550996512.876757,1551008543.153847,293
