Source IP,Source MAC,Source TCP Port,Source UDP Port,Target IP,Target MAC,Target TCP Port,Target UDP Port,Protocol,Application Protocol,Packets A->B,Packets B->A,Bytes A->B,Bytes B->A,First Seen,Last Seen,Duration (seconds),Conversation Status,TCP Flags,Stream ID,Frame Protocols,VLAN ID,DiffServ Field,IP Version
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.12,58:bf:ea:be:b3:80,,53588,UDP,DATA,1,0,127,0,2019-02-24T03:54:36.357516,2019-02-24T03:54:36.357516,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.12,58:bf:ea:be:b3:80,,53858,UDP,DATA,1,0,127,0,2019-02-24T03:54:36.713236,2019-02-24T03:54:36.713236,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.13,58:bf:ea:be:b3:80,,50116,UDP,DATA,1,0,127,0,2019-02-24T03:54:38.709431,2019-02-24T03:54:38.709431,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.13,58:bf:ea:be:ad:80,,50386,UDP,DATA,1,0,127,0,2019-02-24T03:54:39.437747,2019-02-24T03:54:39.437747,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.14,58:bf:ea:be:b3:80,,64111,UDP,DATA,1,0,127,0,2019-02-24T03:54:42.616941,2019-02-24T03:54:42.616941,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.14,58:bf:ea:be:b3:80,,64374,UDP,DATA,1,0,127,0,2019-02-24T03:54:43.079248,2019-02-24T03:54:43.079248,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.8,58:bf:ea:be:b3:80,,58291,UDP,DATA,1,0,127,0,2019-02-24T03:54:45.759356,2019-02-24T03:54:45.759356,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.8,58:bf:ea:be:b3:80,,58552,UDP,DATA,1,0,127,0,2019-02-24T03:54:46.267187,2019-02-24T03:54:46.267187,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,43951,,10.51.119.162,00:00:0c:07:ac:f0,51244,,TCP,TCP,10,0,1325,0,2019-02-24T03:54:48.143903,2019-02-24T03:54:48.258078,0.114,unknown,,109,"eth,ethertype,vlan,ip,tcp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.9,58:bf:ea:be:ad:80,,63219,UDP,DATA,1,0,127,0,2019-02-24T03:54:52.873527,2019-02-24T03:54:52.873527,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.9,58:bf:ea:be:ad:80,,63487,UDP,DATA,1,0,127,0,2019-02-24T03:54:53.193238,2019-02-24T03:54:53.193238,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,35931,10.51.119.162,00:00:0c:07:ac:f0,,51244,UDP,DATA,1,0,257,0,2019-02-24T03:54:54.054362,2019-02-24T03:54:54.054362,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.10,58:bf:ea:be:b3:80,,62148,UDP,DATA,1,0,127,0,2019-02-24T03:54:55.688247,2019-02-24T03:54:55.688247,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.7,58:bf:ea:be:b3:80,,51350,UDP,DATA,1,0,127,0,2019-02-24T03:54:55.864774,2019-02-24T03:54:55.864774,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.10,58:bf:ea:be:b3:80,,62423,UDP,DATA,1,0,127,0,2019-02-24T03:54:56.513012,2019-02-24T03:54:56.513012,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.11,58:bf:ea:be:b3:80,,57938,UDP,DATA,1,0,127,0,2019-02-24T03:54:59.935924,2019-02-24T03:54:59.935924,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.11,58:bf:ea:be:ad:80,,58199,UDP,DATA,1,0,127,0,2019-02-24T03:55:00.234116,2019-02-24T03:55:00.234116,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.12,58:bf:ea:be:b3:80,,63808,UDP,DATA,1,0,127,0,2019-02-24T03:55:06.351427,2019-02-24T03:55:06.351427,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.12,58:bf:ea:be:ad:80,,64076,UDP,DATA,1,0,127,0,2019-02-24T03:55:06.660634,2019-02-24T03:55:06.660634,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.13,58:bf:ea:be:ad:80,,50845,UDP,DATA,1,0,127,0,2019-02-24T03:55:08.693855,2019-02-24T03:55:08.693855,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.13,58:bf:ea:be:ad:80,,51113,UDP,DATA,1,0,127,0,2019-02-24T03:55:09.013107,2019-02-24T03:55:09.013107,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.14,58:bf:ea:be:b3:80,,64728,UDP,DATA,1,0,127,0,2019-02-24T03:55:12.617019,2019-02-24T03:55:12.617019,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.14,58:bf:ea:be:ad:80,,64989,UDP,DATA,1,0,127,0,2019-02-24T03:55:12.933271,2019-02-24T03:55:12.933271,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.8,58:bf:ea:be:ad:80,,58989,UDP,DATA,1,0,127,0,2019-02-24T03:55:15.761473,2019-02-24T03:55:15.761473,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.8,58:bf:ea:be:ad:80,,59250,UDP,DATA,1,0,127,0,2019-02-24T03:55:16.086846,2019-02-24T03:55:16.086846,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.9,58:bf:ea:be:ad:80,,63798,UDP,DATA,1,0,127,0,2019-02-24T03:55:22.873698,2019-02-24T03:55:22.873698,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
