MAC Address,Vendor,IP Address,TCP Ports,UDP Ports,First Seen,Last Seen,Packet Count
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",13.248.241.7,443,,1742153163.747618,1742153163.909027,25
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",172.67.2.155,443,,1742153164.93564,1742153164.935962,5
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",20.189.173.3,443,,1742153165.357563,1742153165.689791,28
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",52.123.190.201,443,,1742153166.097664,1742153166.191357,4
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",54.210.205.214,443,,1742153166.642548,1742153166.6431,3
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",64.233.181.95,443,,1742153168.536849,1742153168.585826,2
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",52.200.32.14,443,,1742153169.009094,1742153169.009702,3
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",172.64.152.241,443,,1742153169.069669,1742153169.157464,15
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",172.64.149.196,443,,1742153169.129943,1742153169.183338,10
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",20.127.250.238,443,,1742153170.376118,1742153170.376323,2
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",20.59.87.226,443,,1742153180.253208,1742153180.376536,4
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",52.112.84.166,443,,1742153184.028041,1742153184.139032,4
54:60:09:8f:4a:8e,"Google, Inc.",172.16.16.208,8009,,1742153142.379224,1742153187.470084,55
b0:2a:43:26:94:8a,"Google, Inc.",172.16.16.201,8009,,1742153143.773511,1742153184.218229,54
ac:67:84:90:3c:0a,"Google, Inc.",172.16.16.222,"8008,8009","44428,47971,55364",1742153144.196864,1742153184.707265,60
48:8d:36:c2:75:a8,Arcadyan Corporation,172.16.16.218,,"34839,34922,38860,43063,47357,48373,49045,49369,49715,53270,55828,56964",1742153145.437966,1742153177.745333,24
00:08:9b:f2:35:35,ICP Electronics Inc.,172.16.16.228,445,,1742153152.787133,1742153182.789709,4
